emoji,keywords_ka,keywords_en
💡,ნათურა|ლამპა|ჭაღი|იდეა|შუქი|ელექტროენერგია|ტვინი|განათება|მაგიდის სანათი|მზის პანელი|ნათელი|ნათურები|ქუჩის ლამპიონი|ჭერი|გაგება|გირლანდა|ცოდნა|აჰა|ვიცი|მოვიფიქრე|განათლება|დენი|მეწარმე|პასუხი|ტუმბო|ჭკვიანი|გენიალური,light bulb|light|bulb|bright|idea|lamp|knowing|advisor|intellectuals|glowing|mentor|electricity|thinkers|brain|consultant|advice|comprehending|dim|filaments|hints|ideas|inventions|inventors|know|lightbulb|reasons|solulu|understanding|electrician|beams|genius|geniuses|glimmers|solving|witty|glows|creator|founder|purposes|truth|clever|electricians|expert|experts|flickering|luminous|seeing|smart|advisors|creations|creators|flashes|mentors|prism|remember|resolving|thoughts|entrepreneur|glow|imo|brainstorm|awake|causes|copywriters|deciding|founders|gurus|mind|revealing|comic|think|electric
🔦,ფანარი|ფანარი ხელის|შუქი|სიბნელე|ძებნა,flashlight|watchman|light|guides|watchmen|torch|explorers|guiding|lamp|dark|electric|guide|battery|cave|tool|exploring|search
🏮,ჩინური ფარანი|წითელი ფარანი|ფანარი ძველი|აზიური ფანარი|იაპონური ფარანი|ანიმე|ხალიჩა|ფარანი|შუქი,red paper lantern|lantern|china|light|lamp|festival|izakaya lantern|paper lantern|bar|japanese|japan|anime|red
🪔,დიას ლამპარი|ინდოეთი|ლამპარი|დივალი|დია|ზეთის ლამპარი|შუქი,diya lamp|lamp|diwali|garlands|hindu|light|clay lamp|diya|india|oil lamp|festival|oil
📔,რვეული ყვავილით|რვეული|კლასი|ჩანაწერები|წიგნი|დღიური|საკითხავი,notebook with decorative cover|notebook|journal|diary|ledger|book|writing|paper|cover|study|decorated|read
📕,პასპორტი|წითელი წიგნი|ბიბლიოთეკა|კითხვა|წიგნი|სკოლა,closed book|book|reading|education|literature|notebook|novel|read|school|closed|red
📖,კითხვა|წიგნი|ზღაპარი|ჟურნალი|მწერალი|პოეტი|ალბომის ფურცვლა|გადაშლილი წიგნი|ვეფხისტყაოსანი|ლიტერატურა|მკითხველი|პასპორტი|რეცეპტები|ფოტოალბომი|ბიბლიოთეკა|ბებიის რეცეპტი|ქართული ანბანი|წერა-კითხვა|წიგნების თარო|ღია წიგნი|რეცეპტი|მითოლოგია|სიყვარულის ისტორია|სცენარი|ძველი წიგნები|სწავლა,open book|author|publisher|novelist|binder|book|authors|reading|librarians|studying|publishers|ledger|librettist|read|parables|stories|writers|readers|hopeless romantic|library|study|disciples|essayists|novelists|word|alchemists|education|illustrators|pastors|preachers|allegories|tales|booksellers|poetry|translator|comprehending|priests|writer|fables|open
📗,მწვანე წიგნი|კითხვა|წიგნი,green book|book|reading|study|read|green|education
📘,ლურჯი წიგნი|კითხვა|წიგნი,blue book|book|reading|study|blue|read|education
📙,ნარინჯისფერი წიგნი|წიგნი|კითხვა,orange book|book|reading|study|read|orange|education
📚,წიგნი|სწავლა|ბიბლიოთეკა|ისტორია|უნივერსიტეტი|აღზრდა|გაკვეთილი|განათლება|თარო|კოლექცია|ლოცვანი|საქართველოს ისტორია|ცოდნა|ძველი წიგნები|წიგნები|წიგნების თარო|სკოლა|ბუ|კითხვა|ლიტერატურა|მაგიდის სანათი|სათვალე მხედველობის|სიბრძნე|სტუდენტი|სათვალე|გეოგრაფია|გლობუსი|მასწავლებელი|მკითხველი|ჟურნალი|გამოცდები,books|bookseller|librarian|scholar|book|librarians|studying|reading|library|publishers|school|lesson|authors|homework|archivists|scholars|teacher|academics|teachers|researcher|booksellers|comics|course|learned|manga|novelists|philologists|publisher|readers|shelf|stories|subjects|student|collecting|translators|learning|tutors|historian|hoarding|study|yarns|author|class|classmates|desk|researchers|schoolmates|seminar|sources|teaching|education|comprehending|educated|governess|reviewers|societies|stack of books|intellectuals|english|lecture|lecturers|linguists|professor|professors|exam|exams|editor|editors|educator|history|read
📓,რვეული|ბლოკნოტი|ჩანაწერები|დღიური|ჩანაწერი,notebook|journal|write|paper|diary|school|book|notes
📒,ბლოკნოტი|რვეული|ბუღალტრული წიგნი|ჟურნალი|წიგნაკი|ბუღალტერია|ყვითელი ბლოკნოტი|ჩანაწერი,ledger|notebook|finance|business|accounting|note|notes|office|book
